1989,-29.70,-84.47
1989,-29.70,0.00
1989,-29.70,0.00
1990,-29.70,0.00
1990,-29.70,0.00
1990,-29.70,0.00
1990,-29.70,0.00
2113,-39.15,-77.07
2113,-39.15,0.00
2113,-39.15,0.00
2114,-39.15,0.00
2114,-39.15,0.00
2114,-39.15,0.00
2237,-50.40,-91.80
2237,-50.40,0.00
2237,-50.40,0.00
2238,-50.40,0.00
2238,-50.85,-1757.82
2238,-50.85,0.00
2238,-50.85,0.00
2361,-62.10,-91.75
2361,-62.10,0.00
2361,-62.10,0.00
2362,-62.10,0.00
2362,-62.10,0.00
2362,-62.10,0.00
2485,-71.55,-77.07
2485,-71.55,0.00
2485,-71.55,0.00
2486,-71.55,0.00
2486,-71.55,0.00
2486,-71.55,0.00
2486,-71.55,0.00
2609,-79.20,-62.42
2609,-79.20,0.00
2609,-79.20,0.00
2610,-79.20,0.00
2610,-79.20,0.00
2610,-79.20,0.00
2733,-81.45,-18.35
2733,-81.45,0.00
2733,-81.45,0.00
2733,-81.45,0.00
2734,-81.45,0.00
2734,-81.45,0.00
2734,-81.45,0.00
2857,-83.25,-14.69
2857,-83.25,0.00
2857,-83.25,0.00
2857,-83.25,0.00
2858,-83.25,0.00
2858,-83.25,0.00
2981,-84.60,-11.01
2981,-84.60,0.00
2981,-84.60,0.00
2981,-84.60,0.00
2982,-84.60,0.00
2982,-84.60,0.00
2982,-84.60,0.00
3105,-85.95,-11.02
3105,-85.95,0.00
3105,-85.95,0.00
3105,-85.95,0.00
3106,-85.95,0.00
3106,-85.95,0.00
3228,-85.05,7.34
3229,-85.05,0.00
3229,-85.05,0.00
3229,-85.05,0.00
3229,-85.05,0.00
3230,-85.05,0.00
3230,-85.05,0.00
3353,-84.15,7.34
3353,-84.15,0.00
3353,-84.15,0.00
3353,-84.15,0.00
3354,-84.15,0.00
3354,-84.15,0.00
3476,-84.60,-3.67
3477,-84.60,0.00
3477,-84.60,0.00
3477,-84.60,0.00
3477,-84.60,0.00
3478,-84.60,0.00
3478,-84.60,0.00
3600,-81.00,29.37
3601,-81.00,0.00
3601,-81.00,0.00
3601,-80.55,1807.25
3601,-80.55,0.00
3602,-80.55,0.00
3724,-45.90,282.62
3725,-45.90,0.00
3725,-45.90,0.00
3725,-45.90,0.00
3725,-45.90,0.00
3725,-45.45,1807.23
3726,-45.45,0.00
3848,13.50,480.75
3849,13.50,0.00
3849,13.50,0.00
3849,13.50,0.00
3849,13.50,0.00
3850,13.50,0.00
3972,53.10,322.99
3972,53.10,0.00
3973,53.10,0.00
3973,53.10,0.00
3973,53.10,0.00
3973,53.10,0.00
3974,53.10,0.00
4096,45.00,-66.07
4096,45.00,0.00
4097,45.00,0.00
4097,45.00,0.00
4097,45.00,0.00
4097,45.00,0.00
4098,44.55,-1939.66
4220,9.00,-289.93
4220,9.00,0.00
4221,9.00,0.00
4221,9.00,0.00
4221,9.00,0.00
4221,9.00,0.00
4222,9.00,0.00
4344,-26.55,-290.10
4344,-26.55,0.00
4345,-26.55,0.00
4345,-27.00,-1757.82
4345,-27.00,0.00
4345,-27.00,0.00
4468,-32.40,-44.05
4468,-32.40,0.00
4468,-32.40,0.00
4469,-32.40,0.00
4469,-32.40,0.00
4469,-32.40,0.00
4469,-32.40,0.00
4592,-11.70,168.84
4592,-11.70,0.00
4593,-11.70,0.00
4593,-11.70,0.00
